"source_id","source_name","author","title","description","url","url_to_image","published_at","content","top_article","engagement_reaction_count","engagement_comment_count","engagement_share_count","engagement_comment_plugin_count"
"reuters","Reuters","Reuters Editorial","NTSB says Autopilot engaged in 2018 California Tesla crash","""The National Transportation Safety Board said Tuesday a Tesla Model S was in Autopilot mode when it struck a fire truck in Culver City, California -- one of a series of crashes the board is investigating involving Tesla's driver assistance system.""","https://www.reuters.com/article/us-tesla-crash-idUSKCN1VO22E","https://s4.reutersmedia.net/resources/r/?m=02&d=20190903&t=2&i=1425817142&w=1200&r=LYNXNPEF821HS","2019-09-03T16:22:20Z","""WASHINGTON (Reuters) - The National Transportation Safety Board said Tuesday a Tesla Model S was in Autopilot mode when it struck a fire truck in Culver City, California one of a series of crashes the board is investigating involving Tesla’s driver assistance… [+478 chars]""",0,0,0,2528,0
"the-irish-times","The Irish Times","Eoin Burke-Kennedy","Unemployment falls to post-crash low of 5.2%","Latest monthly figures reflect continued growth in headline employment","https://www.irishtimes.com/business/economy/unemployment-falls-to-post-crash-low-of-5-2-1.4006266","https://www.irishtimes.com/image-creator/?id=1.4006265&origw=620","2019-09-03T10:32:28Z","""The States jobless rate fell to 5.2 per cent last month, according to the latest official figures. This was higher than previously reported on account of an upward revision by the Central Statistics Office (CSO), one of several in the last two years.\r\nNonethe… [+800 chars]""",0,6,10,2,0
"the-irish-times","The Irish Times","Deirdre McQuillan","""Louise Kennedy AW2019: Long coats, sparkling tweed dresses and emerald knits""","Autumn-winter collection features designer’s glittering take on Black Watch tartan","https://www.irishtimes.com/\t\t\t\t\t\t\t/life-and-style/fashion/louise-kennedy-aw2019-long-coats-sparkling-tweed-dresses-and-emerald-knits-1.4006504\t","https://www.irishtimes.com/image-creator/?id=1.4006499&origw=1200","2019-09-03T14:40:00Z","""Louise Kennedy is showing off her autumn-winter collection in Dublin tonight and the show will start with her glittering new take on Black Watch tartan.\r\nSixteen models will present more than 60 ensembles to over 200 guests, including the designers close frie… [+2156 chars]""",1,null,null,null,null
"al-jazeera-english","Al Jazeera English","Al Jazeera","North Korean footballer Han joins Italian giants Juventus","Han is the first North Korean player in the Serie A and was praised during his appearances during youth World Cups.","https://www.aljazeera.com/news/2019/09/north-korean-footballer-han-joins-italian-giants-juventus-190903164640390.html","https://www.aljazeera.com/mritems/Images/2019/9/3/23c9eebde4cb4c3b91d9e5f36ab1d65c_18.jpg","2019-09-03T17:25:39Z","""Han Kwang Song, the first North Korean footballer to score in the Italian Serie A league, has joined reigning champions Juventus on loan from Cagliari.\r\nHan signed a one-year contract with the club with an option to buy after the year ends for five million eu… [+1240 chars]""",0,0,0,7,0
"bbc-news","BBC News","BBC News","UK government lawyer says proroguing parliament 'political not legal'","""The UK government's lawyer, David Johnston argued that proroguing parliament was a political decision for the government, rather than a legal matter for the court to decide.""","https://www.bbc.co.uk/news/av/uk-scotland-49564244/uk-government-lawyer-says-proroguing-parliament-political-not-legal","https://ichef.bbci.co.uk/news/1024/branded_news/3F83/production/_108595261_p07mbm5m.jpg","2019-09-03T14:39:21Z",null,0,0,0,0,0
"abc-news","ABC News","The Associated Press","'This Tender Land' is an affecting story about growing up","""\""This Tender Land\"" by William Kent Krueger is an affecting story about growing up and overcoming a childhood filled with neglect, abuse and racism during the Depression.""","https://abcnews.go.com/Entertainment/wireStory/tender-land-affecting-story-growing-65359757",null,"2019-09-03T15:56:49Z","""\""This Tender Land: a Novel\"" (Atria Books), by William Kent Krueger\r\nStrands of the adventures of Huck Finn and Tom Sawyer on the Mississippi River echo throughout William Kent Krueger's lyrical, compassionate \""This Tender Land\"" in which four children try to e… [+2822 chars]""",0,0,0,0,0
"reuters","Reuters","Reuters Editorial","EU wants to see if lawmakers will block Brexit before striking new deal: UK's Johnson","""The European Union is waiting to see if British lawmakers block Brexit before giving Britain concessions to strike a new withdrawal agreement, Prime Minister Boris Johnson said.""","https://www.reuters.com/article/us-britain-eu-johnson-concession-idUSKCN1VO22Z","https://s2.reutersmedia.net/resources/r/?m=02&d=20190903&t=2&i=1425818862&w=1200&r=LYNXNPEF821I3","2019-09-03T16:25:41Z","""LONDON (Reuters) - The European Union is waiting to see if British lawmakers block Brexit before giving Britain concessions to strike a new withdrawal agreement, Prime Minister Boris Johnson said. \r\nJohnson, who has pledged that Britain will leave the EU on O… [+777 chars]""",0,0,0,817,0
"reuters","Reuters","Reuters Editorial","European third quarter profit outlook improves slightly but still in recession: Refinitv","""Earnings and revenue expectations for European companies for the third quarter have improved very slightly, although the region is still expected to be in a corporate recession, according to data on Tuesday.'""","https://www.reuters.com/article/us-europe-stocks-results-idUSKCN1VO24X","https://s2.reutersmedia.net/resources/r/?m=02&d=20190903&t=2&i=1425826613&w=1200&r=LYNXNPEF821KH","2019-09-03T16:53:48Z","""LONDON (Reuters) - Earnings and revenue expectations for European companies for the third quarter have improved very slightly, although the region is still expected to be in a corporate recession, according to data on Tuesday. \r\nCompanies listed on the pan-Eu… [+640 chars]""",0,0,0,0,0
"bbc-news","BBC News","https://www.facebook.com/bbcnews","How are emotional support animals allowed on flights?","""There's been support dogs, a support turkey, and now a support horse on a plane - what's going on?""","https://www.bbc.co.uk/news/newsbeat-49564227","https://ichef.bbci.co.uk/news/1024/branded_news/14545/production/_108596238_dog-edit.jpg","2019-09-03T16:21:52Z","""Image copyrightGetty Images\r\nYou might have seen pictures in the past of some pretty strange animals who've boarded flights.\r\nFrom a kangaroo to a turkey... and now a miniature horse called Flirty. Small for a horse maybe, but still pretty big to be sat next … [+2380 chars]""",0,4,6,12,0
"the-irish-times","The Irish Times","Pat Leahy","Boris Johnson to meet Leo Varadkar in Dublin on Monday","UK prime minister will meet Taoiseach for talks on Brexit and Northern Ireland","https://www.irishtimes.com/news/politics/boris-johnson-to-meet-leo-varadkar-in-dublin-on-monday-1.4006533","https://www.irishtimes.com/image-creator/?id=1.4006532&origw=1440","2019-09-03T15:04:43Z","""The British Prime Minister Boris Johnson is to visit Dublin next Monday for a meeting with Taoiseach Leo Varadkar.\r\nMr Johnson will meet Mr Varadkar for talks on Brexit and the North, it is expected, amid continuing political turmoil at Westminster and growin… [+1190 chars]""",0,50,77,8,0
